Start time, End time, speaker, dialogue
00:00:00.300, 00:00:06.300, speaker, You guys just as a reminder there's a toy chest here on the wall of 2166.
00:00:06.300, 00:00:12.000, speaker, That you can pull some other toys for inspiration when you're moving past categorizing.
00:00:12.000, 00:00:14.000, speaker, Okay. All right.
00:00:14.000, 00:00:16.000, speaker, Thank you. Yep.
00:00:23.000, 00:00:30.000, speaker, Okay so -- I don't really think there's too many rules on what we can and can't do here.
00:00:30.000, 00:00:32.100, speaker, Okay. Yeah.
00:00:32.100, 00:00:39.000, speaker, I think it's just like a creative thinking exercise almost.
00:00:39.000, 00:00:44.000, speaker, So--We should write down some ideas to-- Okay.
00:00:49.600, 00:00:57.600, speaker, So Regarding gender we can increase variety of figures.
00:01:01.000, 00:01:04.000, speaker, Tell me are we supposed to take notes on this?
00:01:04.000, 00:01:08.000, speaker, Yeah I think so. Okay.
00:01:19.000, 00:01:27.000, speaker, Okay [fading voice] text. Mm-hmm. It's [fading voice]. I don't really like how the texts works too much.
00:01:29.600, 00:01:34.800, speaker, Alright Increase the variety of figures. More realistic.
00:01:38.000, 00:01:41.000, speaker, What else? You wanna put some rules down?
00:01:41.000, 00:01:42.500, speaker, Mm-hmm definitely rules.
00:01:46.500, 00:01:52.000, speaker, Come up with some examples of rules. What could we do?
00:01:53.000, 00:01:58.000, speaker, Well it depends. Do we want to do it on a battle or like a metropolis type idea?
00:02:01.000, 00:02:07.000, speaker, Or like a non-war design?
00:02:08.500, 00:02:12.000, speaker, Let's stick with battle for now and see what we come up with.
00:02:12.000, 00:02:20.500, speaker, Okay so with a battle we can have some sort of war rules I guess? Okay.
00:02:20.500, 00:02:26.500, speaker, Where you get somebody moves people and different guys can do different things. Yeah.
00:02:26.500, 00:02:30.500, speaker, So turn it into like a Risk. Like a board game. Yeah exactly.
00:02:30.500, 00:02:40.200, speaker, Do you have any problems with the iPads? No? Do call me. Thank you
00:02:41.700, 00:02:46.000, speaker, Yeah there can be more strategy more board-like.
00:02:46.000, 00:02:48.000, speaker, Yeah we can make it a board game.
00:02:48.700, 00:02:55.000, speaker, We really could only like a really big one and you don't need a board almost.
00:02:55.000, 00:03:05.000, speaker, [Fading voice]. You guys can--this is good stuff.
00:03:08.000, 00:03:14.600, speaker, Okay so make it a board game so that means we're introducing--I mean there's gonna be a winner and a loser.
00:03:14.600, 00:03:18.000, speaker, Mm-hmm. Okay
00:03:18.000, 00:03:24.700, speaker, And then we definitely move it to cooperative competitive in that situation.
00:03:46.300, 00:03:48.500, speaker, Okay cool.
00:03:48.500, 00:03:55.000, speaker, Then we will be moving into something like chess. Just more rules there.
00:03:55.000, 00:03:58.000, speaker, Yeah only be a pretty complicated game of chess. Yeah.
00:04:00.000, 00:04:07.500, speaker, Would it be fun cuz like when kids play with action figures they usually make up their own rules anyway.
00:04:07.500, 00:04:12.349, speaker, [cross talk] - this guy is better than this guy so--
00:04:12.349, 00:04:18.700, speaker, Each edge we should focus on. Say that again?
00:04:18.700, 00:04:23.700, speaker, He's asking if we should focus on children a more mature...
00:04:23.700, 00:04:32.000, speaker, Yeah. I definitely think so. For children. Yeah but this can be made for adults also if you just make it like chess.
00:04:32.000, 00:04:34.000, speaker, Like saying this guy's the commander he stays-- [cross talk 12:33]. Yeah I can buy that.
00:04:34.000, 00:04:38.500, speaker, There's definitely that. Yeah you could. All right.
00:04:43.000, 00:04:50.000, speaker, This text box thing is-- That'd be cool if we didn't need a board and you could just play it on
00:04:50.000, 00:04:55.000, speaker, any terrain on your house. The terrain in the house would change how the game is played almost.
00:04:55.000, 00:05:03.000, speaker, Actually so-- In third grade or whatever we had this game where there were two teams and each team would build towers.
00:05:03.000, 00:05:10.300, speaker, And there was an army of catapults and these little crossbow looking things. You would try and shoot the tower down.
00:05:10.300, 00:05:13.000, speaker, Oh yeah sounds--that's pretty cool.
00:05:13.000, 00:05:15.000, speaker, We can maybe incorporate that somehow.
00:05:15.000, 00:05:17.000, speaker, That'd be pretty cool.
00:05:17.000, 00:05:22.000, speaker, Cuz that's more active. It's not just like--it's all in your head and you have to move your pieces.
00:05:22.000, 00:05:29.000, speaker, Mm-hmm. You could like -- I mean that could be things that would physically knock over other--
